variable,sort_type,modes,chi2
9.50,hist,17,0.00
9.50,hist,18,0.00
9.50,hist,19,0.00
9.50,hist,20,0.00
9.50,hist,21,0.00
9.50,hist,22,0.00
9.50,hist,23,0.00
9.50,hist,24,0.00
9.50,hist,25,0.00
9.50,hist,26,0.00
9.50,hist,27,0.00
9.50,hist,28,0.00
9.50,hist,29,0.00
9.50,hist,30,0.00
9.50,hist,31,0.03
9.50,hist,32,0.13
9.50,hist,33,0.30
9.50,hist,34,0.53
9.50,hist,35,0.83
9.50,hist,36,1.20
9.50,hist,37,1.63
9.50,hist,38,2.13
9.50,hist,39,2.70
9.50,hist,40,3.33
9.50,hist,41,4.03
9.50,hist,42,4.80
9.50,hist,43,5.63
9.50,hist,44,6.53
9.50,hist,45,7.50
9.50,hist,46,8.53
9.50,hist,47,9.63
9.50,hist,48,10.80
9.50,hist,49,12.03
9.50,hist,50,13.33
9.50,hist,51,14.70
9.50,hist,52,16.13
9.50,hist,53,17.63
9.50,hist,54,19.20
9.50,hist,55,20.83
9.50,hist,56,22.53
9.50,hist,57,24.30
9.50,hist,58,26.13
9.50,hist,59,28.03
9.50,hist,60,30.00
9.50,hist,61,32.03
9.50,hist,62,34.13
9.50,hist,63,36.30
9.50,hist,64,38.53
9.50,hist,65,40.83
9.50,hist,66,43.20
9.50,hist,67,45.63
9.50,hist,68,48.13
9.50,hist,69,50.70
9.50,hist,70,53.33
9.50,hist,71,56.03
9.50,hist,72,58.80
9.50,hist,73,61.63
9.50,hist,74,64.53
9.50,hist,75,64.53
9.50,hist,76,64.53
9.50,hist,77,64.53
9.50,hist,78,64.53
9.50,hist,79,64.53
9.50,hist,80,64.53
9.50,hist,81,64.53
9.50,hist,82,64.53
9.50,hist,83,64.53
9.50,hist,84,64.53
9.50,hist,85,64.53
9.50,hist,86,64.53
9.50,hist,87,64.53
9.50,hist,88,64.53
9.50,hist,89,96.41
9.50,hist,90,94.95
9.50,hist,91,93.52
9.50,hist,92,92.12
9.50,hist,93,90.76
9.50,hist,94,89.43
9.50,hist,95,88.14
9.50,hist,96,86.88
9.50,hist,97,85.65
9.50,hist,98,84.46
9.50,hist,99,83.31
9.50,hist,100,82.19
9.50,hist,1787,7360.42
10.00,hist,1,0.00
10.00,hist,2,0.00
10.00,hist,3,0.00
10.00,hist,4,0.00
10.00,hist,5,0.00
10.00,hist,6,0.00
10.00,hist,7,0.00
10.00,hist,8,0.00
10.00,hist,9,0.00
10.00,hist,10,0.00
10.00,hist,11,0.00
10.00,hist,12,0.00
10.00,hist,13,0.00
10.00,hist,14,0.00
10.00,hist,15,0.00
10.00,hist,16,0.00
10.00,hist,17,0.00
10.00,hist,18,0.00
10.00,hist,19,0.00
10.00,hist,20,0.00
10.00,hist,21,0.00
10.00,hist,22,0.00
10.00,hist,23,0.00
10.00,hist,24,0.00
10.00,hist,25,0.00
10.00,hist,26,0.00
10.00,hist,27,0.00
10.00,hist,28,0.00
10.00,hist,29,0.00
10.00,hist,30,0.00
10.00,hist,31,0.03
10.00,hist,32,0.13
10.00,hist,33,0.30
10.00,hist,34,0.53
10.00,hist,35,0.83
10.00,hist,36,1.20
10.00,hist,37,1.63
10.00,hist,38,2.13
10.00,hist,39,2.70
10.00,hist,40,3.33
10.00,hist,41,4.03
10.00,hist,42,4.80
10.00,hist,43,5.63
10.00,hist,44,6.53
10.00,hist,45,7.50
10.00,hist,46,8.53
10.00,hist,47,9.63
10.00,hist,48,10.80
10.00,hist,49,12.03
10.00,hist,50,13.33
10.00,hist,51,14.70
10.00,hist,52,16.13
10.00,hist,53,17.63
10.00,hist,54,19.20
10.00,hist,55,20.83
10.00,hist,56,22.53
10.00,hist,57,24.30
10.00,hist,58,26.13
10.00,hist,59,28.03
10.00,hist,60,30.00
10.00,hist,61,32.03
10.00,hist,62,34.13
10.00,hist,63,36.30
10.00,hist,64,38.53
10.00,hist,65,40.83
10.00,hist,66,43.20
10.00,hist,67,45.63
10.00,hist,68,48.13
10.00,hist,69,50.70
10.00,hist,70,53.33
10.00,hist,71,56.03
10.00,hist,72,58.80
10.00,hist,73,61.63
10.00,hist,74,64.53
10.00,hist,75,67.50
10.00,hist,76,70.53
10.00,hist,77,73.63
10.00,hist,78,76.80
10.00,hist,79,80.03
10.00,hist,80,83.33
10.00,hist,81,86.70
10.00,hist,82,90.13
10.00,hist,83,93.63
10.00,hist,84,97.20
10.00,hist,85,97.20
10.00,hist,86,97.20
10.00,hist,87,97.20
10.00,hist,88,97.20
10.00,hist,89,145.63
10.00,hist,90,143.82
10.00,hist,91,142.04
10.00,hist,92,140.30
10.00,hist,93,138.60
10.00,hist,94,136.92
10.00,hist,95,135.29
10.00,hist,96,133.68
10.00,hist,97,132.11
10.00,hist,98,130.58
10.00,hist,99,129.08
10.00,hist,100,127.61
10.00,hist,1787,9987.95
10.50,hist,1,0.00
10.50,hist,2,0.00
10.50,hist,3,0.00
10.50,hist,4,0.00
10.50,hist,5,0.00
10.50,hist,6,0.00
10.50,hist,7,0.00
10.50,hist,8,0.00
10.50,hist,9,0.00
10.50,hist,10,0.00
10.50,hist,11,0.00
10.50,hist,12,0.00
10.50,hist,13,0.00
10.50,hist,14,0.00
10.50,hist,15,0.00
10.50,hist,16,0.00
