form_idx,mode,eigval
0,444,94.97
0,445,95.28
0,446,95.33
0,447,95.74
0,448,95.83
0,449,95.92
0,450,95.97
0,451,96.30
0,452,96.48
0,453,96.57
0,454,96.76
0,455,97.06
0,456,97.11
0,457,97.32
0,458,97.46
0,459,97.60
0,460,97.74
0,461,98.05
0,462,98.19
0,463,98.24
0,464,98.50
0,465,98.57
0,466,98.75
0,467,99.00
0,468,99.18
0,469,99.50
0,470,99.57
0,471,99.77
0,472,99.87
0,473,100.08
0,474,100.29
0,475,100.73
0,476,100.83
0,477,100.84
0,478,101.14
0,479,101.41
0,480,101.59
0,481,101.83
0,482,101.90
0,483,102.13
0,484,102.45
0,485,102.67
0,486,102.84
0,487,102.97
0,488,103.13
0,489,103.29
0,490,103.39
0,491,103.74
0,492,103.94
0,493,104.15
0,494,104.22
0,495,104.34
0,496,104.46
0,497,104.67
0,498,104.78
0,499,105.09
0,500,105.21
0,501,105.39
0,502,105.64
0,503,105.76
0,504,106.03
0,505,106.06
0,506,106.31
0,507,106.48
0,508,106.54
0,509,106.77
0,510,106.99
0,511,107.02
0,512,107.28
0,513,107.42
0,514,107.54
0,515,107.75
0,516,108.14
0,517,108.35
0,518,108.60
0,519,108.71
0,520,108.89
0,521,109.01
0,522,109.40
0,523,109.47
0,524,109.78
0,525,109.99
0,526,110.07
0,527,110.39
0,528,110.64
0,529,110.76
0,530,110.82
0,531,111.00
0,532,111.10
0,533,111.17
0,534,111.59
0,535,111.75
0,536,111.97
0,537,112.10
0,538,112.15
0,539,112.44
0,540,112.60
0,541,112.81
0,542,112.98
0,543,113.05
0,544,113.28
0,545,113.31
0,546,113.72
0,547,113.81
0,548,114.18
0,549,114.41
0,550,114.57
0,551,114.74
0,552,114.89
0,553,114.96
0,554,115.10
0,555,115.52
0,556,115.62
0,557,115.90
0,558,116.04
0,559,116.23
0,560,116.28
0,561,116.70
0,562,116.88
0,563,117.24
0,564,117.43
0,565,117.64
0,566,117.68
0,567,117.96
0,568,118.08
0,569,118.16
0,570,118.24
0,571,118.54
0,572,118.73
0,573,118.86
0,574,119.15
0,575,119.35
0,576,119.49
0,577,119.60
0,578,120.03
0,579,120.20
0,580,120.37
0,581,120.50
0,582,120.96
0,583,121.12
0,584,121.28
0,585,121.41
0,586,121.80
0,587,121.81
0,588,121.96
0,589,122.42
0,590,122.47
0,591,122.61
0,592,122.82
0,593,123.01
0,594,123.25
0,595,123.51
0,596,123.70
0,597,123.83
0,598,124.10
0,599,124.17
0,600,124.40
0,601,124.65
0,602,124.81
0,603,124.90
0,604,125.11
0,605,125.17
0,606,125.58
0,607,125.80
0,608,125.99
0,609,126.27
0,610,126.36
0,611,126.44
0,612,126.59
0,613,126.79
0,614,126.92
0,615,127.36
0,616,127.55
0,617,127.71
0,618,127.87
0,619,128.16
0,620,128.24
0,621,128.39
0,622,128.54
0,623,128.88
0,624,128.99
0,625,129.27
0,626,129.43
0,627,129.71
0,628,129.93
0,629,130.10
0,630,130.34
0,631,130.44
0,632,130.65
0,633,130.71
0,634,131.02
0,635,131.17
0,636,131.42
0,637,131.63
0,638,131.91
0,639,132.19
0,640,132.24
0,641,132.34
0,642,132.43
0,643,132.84
0,644,133.14
0,645,133.20
0,646,133.31
0,647,133.42
0,648,133.65
0,649,133.95
0,650,134.10
0,651,134.19
0,652,134.45
0,653,134.75
0,654,135.11
0,655,135.25
0,656,135.48
0,657,135.58
0,658,135.81
0,659,135.87
0,660,136.27
0,661,136.56
0,662,136.70
0,663,136.93
0,664,137.39
0,665,137.45
0,666,137.51
0,667,137.76
0,668,138.04
0,669,138.31
0,670,138.69
0,671,138.83
0,672,138.93
0,673,139.33
0,674,139.43
0,675,139.54
0,676,139.74
0,677,139.89
0,678,140.23
0,679,140.47
0,680,140.72
0,681,141.04
0,682,141.09
0,683,141.19
0,684,141.59
0,685,141.71
0,686,141.95
0,687,142.15
0,688,142.49
0,689,142.92
0,690,143.08
0,691,143.11
0,692,143.39
0,693,143.59
0,694,143.62
0,695,143.81
0,696,144.13
0,697,144.56
0,698,144.69
0,699,144.98
0,700,145.22
0,701,145.28
0,702,145.56
0,703,146.05
0,704,146.12
0,705,146.35
0,706,146.49
0,707,146.58
0,708,146.72
0,709,147.28
0,710,147.30
0,711,147.47
