frame_number,rmsd
1159,1.409556e+00
1160,1.423479e+00
1161,1.455870e+00
1162,1.328968e+00
1163,1.353535e+00
1164,1.343997e+00
1165,1.359863e+00
1166,1.450689e+00
1167,1.472886e+00
1168,1.432758e+00
1169,1.503560e+00
1170,1.494872e+00
1171,1.442904e+00
1172,1.437889e+00
1173,1.369977e+00
1174,1.312162e+00
1175,1.364592e+00
1176,1.323207e+00
1177,1.287789e+00
1178,1.265822e+00
1179,1.294447e+00
1180,1.332214e+00
1181,1.268959e+00
1182,1.273100e+00
1183,1.313713e+00
1184,1.293459e+00
1185,1.304950e+00
1186,1.263425e+00
1187,1.203514e+00
1188,1.269070e+00
1189,1.183389e+00
1190,1.229425e+00
1191,1.258934e+00
1192,1.227179e+00
1193,1.334303e+00
1194,1.262909e+00
1195,1.303531e+00
1196,1.280031e+00
1197,1.328968e+00
1198,1.265227e+00
1199,1.254067e+00
1200,1.212358e+00
1201,1.270189e+00
1202,1.330965e+00
1203,1.316116e+00
1204,1.314845e+00
1205,1.359945e+00
1206,1.423479e+00
1207,1.327161e+00
1208,1.324214e+00
1209,1.289359e+00
1210,1.298993e+00
1211,1.246355e+00
1212,1.198955e+00
1213,1.209023e+00
1214,1.213381e+00
1215,1.182892e+00
1216,1.208803e+00
1217,1.194977e+00
1218,1.209976e+00
1219,1.186663e+00
1220,1.250391e+00
1221,1.247537e+00
1222,1.337096e+00
1223,1.332141e+00
1224,1.345114e+00
1225,1.295561e+00
1226,1.389159e+00
1227,1.316973e+00
1228,1.301198e+00
1229,1.204630e+00
1230,1.235567e+00
1231,1.202384e+00
1232,1.247986e+00
1233,1.246424e+00
1234,1.373676e+00
1235,1.393076e+00
1236,1.384119e+00
1237,1.400601e+00
1238,1.375382e+00
1239,1.368268e+00
1240,1.430579e+00
1241,1.379713e+00
1242,1.309436e+00
1243,1.302687e+00
1244,1.296098e+00
1245,1.302562e+00
1246,1.344596e+00
1247,1.379423e+00
1248,1.456627e+00
1249,1.461835e+00
1250,1.468395e+00
1251,1.550633e+00
1252,1.526158e+00
1253,1.455300e+00
1254,1.380494e+00
1255,1.352552e+00
1256,1.347841e+00
1257,1.316617e+00
1258,1.231933e+00
1259,1.205856e+00
1260,1.202157e+00
1261,1.255903e+00
1262,1.178985e+00
1263,1.222156e+00
1264,1.293971e+00
1265,1.330199e+00
1266,1.319058e+00
1267,1.338907e+00
1268,1.346168e+00
1269,1.306085e+00
1270,1.281242e+00
1271,1.230338e+00
1272,1.279915e+00
1273,1.265634e+00
1274,1.248306e+00
1275,1.244350e+00
1276,1.197116e+00
1277,1.233098e+00
1278,1.275070e+00
1279,1.217959e+00
1280,1.274077e+00
1281,1.321304e+00
1282,1.329030e+00
1283,1.286465e+00
1284,1.342311e+00
1285,1.351215e+00
1286,1.371854e+00
1287,1.324067e+00
1288,1.324174e+00
1289,1.312385e+00
1290,1.251246e+00
1291,1.295849e+00
1292,1.247208e+00
1293,1.270180e+00
1294,1.234482e+00
1295,1.279989e+00
1296,1.295008e+00
1297,1.286567e+00
1298,1.282404e+00
1299,1.213417e+00
1300,1.255338e+00
1301,1.321692e+00
1302,1.380747e+00
1303,1.301818e+00
1304,1.352189e+00
1305,1.374738e+00
1306,1.423181e+00
1307,1.262202e+00
1308,1.284525e+00
1309,1.394498e+00
1310,1.370225e+00
1311,1.290393e+00
1312,1.292620e+00
1313,1.309360e+00
1314,1.387319e+00
1315,1.350169e+00
1316,1.361301e+00
1317,1.290024e+00
1318,1.264705e+00
1319,1.362464e+00
1320,1.355474e+00
1321,1.285825e+00
1322,1.284005e+00
1323,1.239826e+00
1324,1.345470e+00
1325,1.355976e+00
1326,1.372409e+00
1327,1.373557e+00
1328,1.404102e+00
1329,1.400819e+00
