variable,sort_type,modes,chi2
10.00,hist,80,39.31
10.00,hist,81,39.51
10.00,hist,82,39.76
10.00,hist,83,40.06
10.00,hist,84,40.42
10.00,hist,85,40.84
10.00,hist,86,41.31
10.00,hist,87,41.84
10.00,hist,88,42.42
10.00,hist,89,43.06
10.00,hist,90,43.76
10.00,hist,91,44.51
10.00,hist,92,45.31
10.00,hist,93,46.17
10.00,hist,94,47.09
10.00,hist,95,48.06
10.00,hist,96,49.09
10.00,hist,97,50.17
10.00,hist,98,51.31
10.00,hist,99,52.51
10.00,hist,100,53.76
10.00,hist,1253,5000.55
10.50,hist,1,0.00
10.50,hist,2,0.00
10.50,hist,3,0.00
10.50,hist,4,0.00
10.50,hist,5,0.00
10.50,hist,6,0.00
10.50,hist,7,0.00
10.50,hist,8,0.00
10.50,hist,9,0.00
10.50,hist,10,0.00
10.50,hist,11,0.00
10.50,hist,12,0.00
10.50,hist,13,0.00
10.50,hist,14,0.00
10.50,hist,15,0.00
10.50,hist,16,0.00
10.50,hist,17,0.06
10.50,hist,18,0.25
10.50,hist,19,0.56
10.50,hist,20,1.00
10.50,hist,21,1.56
10.50,hist,22,2.25
10.50,hist,23,3.06
10.50,hist,24,4.00
10.50,hist,25,5.06
10.50,hist,26,6.25
10.50,hist,27,7.56
10.50,hist,28,9.00
10.50,hist,29,10.56
10.50,hist,30,12.25
10.50,hist,31,14.06
10.50,hist,32,16.00
10.50,hist,33,18.06
10.50,hist,34,20.25
10.50,hist,35,22.56
10.50,hist,36,25.00
10.50,hist,37,27.56
10.50,hist,38,30.25
10.50,hist,39,33.06
10.50,hist,40,36.00
10.50,hist,41,39.06
10.50,hist,42,42.25
10.50,hist,43,45.56
10.50,hist,44,45.56
10.50,hist,45,45.56
10.50,hist,46,45.56
10.50,hist,47,45.56
10.50,hist,48,45.56
10.50,hist,49,45.56
10.50,hist,50,45.56
10.50,hist,51,45.56
10.50,hist,52,45.56
10.50,hist,53,64.34
10.50,hist,54,62.92
10.50,hist,55,61.56
10.50,hist,56,60.26
10.50,hist,57,59.01
10.50,hist,58,57.81
10.50,hist,59,56.67
10.50,hist,60,55.59
10.50,hist,61,54.56
10.50,hist,62,53.59
10.50,hist,63,52.67
10.50,hist,64,51.81
10.50,hist,65,51.01
10.50,hist,66,50.26
10.50,hist,67,49.56
10.50,hist,68,48.92
10.50,hist,69,48.34
10.50,hist,70,47.81
10.50,hist,71,47.34
10.50,hist,72,46.92
10.50,hist,73,46.56
10.50,hist,74,46.26
10.50,hist,75,46.01
