variable,sort_type,modes,chi2
11.50,hist,53,2.88
11.50,hist,54,3.43
11.50,hist,55,4.02
11.50,hist,56,4.67
11.50,hist,57,5.36
11.50,hist,58,6.10
11.50,hist,59,6.88
11.50,hist,60,7.71
11.50,hist,61,8.60
11.50,hist,62,9.52
11.50,hist,63,10.50
11.50,hist,64,11.52
11.50,hist,65,12.60
11.50,hist,66,13.71
11.50,hist,67,14.88
11.50,hist,68,16.10
11.50,hist,69,17.36
11.50,hist,70,18.67
11.50,hist,71,20.02
11.50,hist,72,21.43
11.50,hist,73,22.88
11.50,hist,74,24.38
11.50,hist,75,25.93
11.50,hist,76,27.52
11.50,hist,77,29.17
11.50,hist,78,30.86
11.50,hist,79,32.60
11.50,hist,80,34.38
11.50,hist,81,36.21
11.50,hist,82,38.10
11.50,hist,83,40.02
11.50,hist,84,42.00
11.50,hist,85,44.02
11.50,hist,86,46.10
11.50,hist,87,48.21
11.50,hist,88,50.38
11.50,hist,89,52.60
11.50,hist,90,54.86
11.50,hist,91,57.17
11.50,hist,92,59.52
11.50,hist,93,61.93
11.50,hist,94,64.38
11.50,hist,95,66.88
11.50,hist,96,69.43
11.50,hist,97,72.02
11.50,hist,98,74.67
11.50,hist,99,77.36
11.50,hist,100,80.10
11.50,hist,1176,6129.52
12.00,hist,1,0.00
12.00,hist,2,0.00
12.00,hist,3,0.00
12.00,hist,4,0.00
12.00,hist,5,0.00
12.00,hist,6,0.00
12.00,hist,7,0.00
12.00,hist,8,0.00
12.00,hist,9,0.00
12.00,hist,10,0.00
12.00,hist,11,0.00
12.00,hist,12,0.00
12.00,hist,13,0.00
12.00,hist,14,0.00
12.00,hist,15,0.00
12.00,hist,16,0.00
12.00,hist,17,0.00
12.00,hist,18,0.00
12.00,hist,19,0.00
12.00,hist,20,0.00
12.00,hist,21,0.00
12.00,hist,22,0.00
12.00,hist,23,0.00
12.00,hist,24,0.00
12.00,hist,25,0.00
12.00,hist,26,0.00
12.00,hist,27,0.00
12.00,hist,28,0.00
12.00,hist,29,0.00
12.00,hist,30,0.00
12.00,hist,31,0.00
12.00,hist,32,0.00
12.00,hist,33,0.00
12.00,hist,34,0.00
12.00,hist,35,0.00
12.00,hist,36,0.00
12.00,hist,37,0.00
12.00,hist,38,0.00
